Id,Name,ComponentCode__c,Status__c,Category__c,ComponentDescription__c
a2I8H000000krUQUAY,B25,B25,Active,,GROUP CONTROLLER - CONDENSOR
a2I8H000000krURUAY,B28,B28,Active,Group Controller,GROUP CONTROLLER - SWITCH
a2I8H000000krUSUAY,B29,B29,Active,Group Controller,GROUP CONTROLLER - TIMER
a2I8H000000krUTUAY,B30,B30,Active,Group Controller,GROUP CONTROLLER - WIRING  CONNECTOR / PLUG
a2I8H000000krUUUAY,B31,B31,Active,Group Controller,GROUP CONTROLLER - RELAY CONTACT
a2I8H000000krUXUAY,027,027,Active,,ATS HALTED EAST LANE
a2I8H000000krUYUAY,028,028,Active,,POWER DISTRIBUTION FAULT EAST LANE
a2I8H000000krUZUAY,029,029,Active,,TENSION WEIGHT JACK NOT FULLY DOWN EAST LANE
a2I8H000000krUaUAI,030,030,Active,,STATION DOOR SAFETY WEST LANE
a2I8H000000krUbUAI,031,031,Active,,SELF TEST WEST LANE
a2I8H000000krUcUAI,032,032,Active,,ATO TO ATP COMMUNICATION FAULT WEST LANE
a2I8H000000krUdUAI,033,033,Active,,LANE TO LANE COMMUNICATION FAULT WEST LANE
a2I8H000000krUeUAI,049,049,Active,,CONVERTER NON CRITICAL FAULT WEST LANE
a2I8H000000krUfUAI,004,004,Active,,LANE TO LANE COMMUNICATION FAULT EAST LANE
a2I8H000000krUgUAI,001,001,Active,,STATION DOOR SAFETY EAST LANE
a2I8H000000krUhUAI,002,002,Active,,SELF TEST EAST LANE
a2I8H000000krUiUAI,003,003,Active,,ATO TO ATP COMMUNICATION FAULT EAST LANE
a2I8H000000krUjUAI,005,005,Active,,CROSS CHECK FAULT EAST LANE
a2I8H000000krUkUAI,006,006,Active,,GUIDEWAY CONTACTOR FAULT EAST LANE
a2I8H000000krUlUAI,007,007,Active,,TERMINAL OVERTRAVEL EAST LANE
a2I8H000000krUmUAI,008,008,Active,,BYPASS FAULT EAST LANE
a2I8H000000krUnUAI,009,009,Active,,TRAIN OVERSPEED FAULT EAST LANE
a2I8H000000krUoUAI,010,010,Active,,MANUAL EMERGENCY STOP EAST LANE
a2I8H000000krUpUAI,011,011,Active,,DRIVE CONTACTOR FAULT EAST LANE
a2I8H000000krUqUAI,012,012,Active,,TENSION WEIGTH OVERTRAVEL FAULT EAST LANE
a2I8H000000krUrUAI,013,013,Active,,DEROPEMENT FAULT EAST LANE
a2I8H000000krUsUAI,014,014,Active,,EARTHQUAKE CRITICAL FAULT EAST LANE
a2I8H000000krUtUAI,015,015,Active,,CONVERTER CRITICAL FAULT EAST LANE
a2I8H000000krUuUAI,016,016,Active,,MOTOR CRITICAL FAULT EAST LANE
a2I8H000000krUvUAI,017,017,Active,,VEHICLE FAULT EAST LANE
a2I8H000000krUwUAI,018,018,Active,,BARRIER SAFETY FAULT EAST LANE
